price,seller_age_days,seller_rating,seller_sales_count,review_count,return_policy_days,price_ratio_to_typical,seller_trust_score,seller_new_flag,review_to_sales_ratio,suspicious_phrase_count,brand,category,shipping_country,currency,text_combined
92.95,10,3.66,109,0,0,0.1093529411764706,3.1818043823678597,1,0.0,1,Canon,Sneakers,TR,USD,canon sneakers premium authentic style deal no receipt available. perfect copy and hard to tell.
433.44,692,4.0,772,646,27,1.0863157894736841,4.578724262025341,0,0.8357050452781372,0,Sony,Cameras,IN,USD,verified sony cameras listing minimal wear. verified authenticity by trusted reseller.
129.89,1126,4.34,488,354,15,1.0824166666666666,4.630187799474684,0,0.7239263803680982,0,Nike,Cameras,AE,USD,original nike cameras with full packaging purchased from official store. invoice and original box included.
919.46,1384,4.71,343,285,33,1.0817176470588237,4.8296787271365655,0,0.8284883720930233,2,Canon,Sneakers,AE,USD,"canon sneakers premium discounted luxury deal factory source stock, no box but same quality as original."
10065.23,521,4.71,1026,119,22,1.059497894736842,4.901749440664536,0,0.11587147030185005,0,Rolex,Handbags,AE,USD,rolex handbags in excellent condition serial number available. fast shipping and returns accepted.
443.71,48,2.03,0,14,7,0.24650555555555553,1.5322730447165938,1,14.0,1,Louis Vuitton,Sneakers,GB,USD,"louis vuitton sneakers premium replica deal dm for wholesale and better price, limited details."
149.84,36,1.91,69,7,5,0.21436337625178828,2.488261497408973,1,0.1,0,Samsung,Audio,US,USD,samsung audio in excellent condition minimal wear. verified authenticity by trusted reseller.
363.54,5,1.0,25,0,0,0.20196666666666668,1.5332880548895789,1,0.0,0,Louis Vuitton,Cameras,TR,USD,original louis vuitton cameras with full packaging serial number available. fast shipping and returns accepted.
1744.71,1257,4.63,407,0,16,0.9692833333333334,4.736908559190098,0,0.0,0,Louis Vuitton,Sneakers,GB,USD,louis vuitton sneakers in excellent condition purchased from official store. invoice and original box included.
326.51,841,4.21,761,396,41,0.8183208020050126,4.76885364105801,0,0.5196850393700787,0,Sony,Electronics,CN,USD,original sony electronics with full packaging purchased from official store. invoice and original box included.
742.72,186,4.44,865,252,31,1.062546494992847,4.628637519668797,0,0.2909930715935335,0,Samsung,Handbags,TR,USD,original samsung handbags with full packaging serial number available. fast shipping and returns accepted.
941.01,212,4.28,393,393,27,1.107070588235294,4.359281552180898,0,0.9974619289340102,0,Canon,Cameras,TR,USD,canon cameras in excellent condition serial number available. fast shipping and returns accepted.
283.5,193,3.44,1916,410,28,1.1385542168674698,4.36780790962091,0,0.21387584767866458,0,Bose,Handbags,DE,USD,bose handbags in excellent condition serial number available. fast shipping and returns accepted.
282.58,826,4.78,1003,339,22,1.134859437751004,4.9966075293164725,0,0.3376494023904382,0,Bose,Watches,JP,USD,bose watches in excellent condition purchased from official store. invoice and original box included.
1329.24,675,4.86,610,338,24,0.9167172413793103,4.888203201199344,0,0.5531914893617021,0,Gucci,Handbags,DE,USD,original gucci handbags with full packaging serial number available. fast shipping and returns accepted.
2348.11,459,4.79,1102,594,16,1.3045055555555556,4.906631228235847,0,0.5385312783318223,0,Louis Vuitton,Audio,IN,USD,louis vuitton audio in excellent condition serial number available. fast shipping and returns accepted.
293.4,80,2.85,53,12,0,0.16299999999999998,2.9389133848419347,0,0.2222222222222222,0,Louis Vuitton,Audio,DE,USD,verified louis vuitton audio listing serial number available. fast shipping and returns accepted.
7997.91,766,4.52,400,400,39,0.8418852631578947,4.723863377031731,0,0.9975062344139651,0,Rolex,Cameras,GB,USD,original rolex cameras with full packaging purchased from official store. invoice and original box included.
356.53,539,4.24,425,359,33,0.8935588972431077,4.530345207501091,0,0.8427230046948356,0,Sony,Handbags,CN,USD,original sony handbags with full packaging purchased from official store. invoice and original box included.
40.16,35,3.51,47,0,12,0.161285140562249,3.144828093495389,1,0.0,0,Bose,Watches,AE,USD,verified bose watches listing minimal wear. verified authenticity by trusted reseller.
22.91,42,2.33,0,10,8,0.19091666666666668,1.6526800173540344,1,10.0,1,Nike,Handbags,IN,USD,luxury nike dm for more item no receipt available. perfect copy and hard to tell.
10307.71,0,4.04,519,725,19,1.085022105263158,3.4764572028938683,1,1.3942307692307692,0,Rolex,Sneakers,JP,USD,rolex sneakers in excellent condition purchased from official store. invoice and original box included.
758.85,64,4.57,1093,78,38,0.9497496871088862,4.622057086229828,0,0.0712979890310786,0,Apple,Sneakers,GB,USD,original apple sneakers with full packaging serial number available. fast shipping and returns accepted.
126.07,1042,4.92,176,0,24,1.0505833333333332,4.670515901393573,0,0.0,0,Nike,Handbags,GB,USD,nike handbags in excellent condition purchased from official store. invoice and original box included.
178.13,83,3.38,57,1,3,0.22294117647058823,3.2157332724631016,0,0.017241379310344827,1,Apple,Watches,GB,USD,"luxury apple discounted luxury item dm for wholesale and better price, limited details."
113.19,255,5.0,1670,472,35,0.94325,5.112070998820783,0,0.2824655894673848,0,Nike,Audio,CN,USD,nike audio in excellent condition minimal wear. verified authenticity by trusted reseller.
2112.31,1191,4.48,0,301,5,1.1735055555555556,3.103508177143795,0,301.0,0,Louis Vuitton,Electronics,JP,USD,louis vuitton electronics in excellent condition minimal wear. verified authenticity by trusted reseller.
814.22,706,4.53,1078,0,23,1.0190488110137672,4.88360209119902,0,0.0,0,Apple,Watches,DE,USD,original apple watches with full packaging minimal wear. verified authenticity by trusted reseller.
124.37,56,4.45,383,50,14,1.309157894736842,4.166618328322114,1,0.13020833333333334,0,Adidas,Audio,US,USD,original adidas audio with full packaging purchased from official store. invoice and original box included.
206.98,10,2.16,65,16,0,0.2590488110137672,2.379097976426362,1,0.24242424242424243,1,Apple,Audio,TR,USD,"apple audio discounted luxury dm for wholesale and better price, limited details."
28.93,80,2.22,54,9,4,0.24108333333333334,2.6800006695089835,0,0.16363636363636364,0,Nike,Cameras,GB,USD,original nike cameras with full packaging serial number available. fast shipping and returns accepted.
290.98,483,4.3,916,361,17,0.7292731829573935,4.652589604071611,0,0.3936750272628135,0,Sony,Watches,GB,USD,verified sony watches listing serial number available. fast shipping and returns accepted.
285.38,602,4.63,657,343,15,0.7152380952380952,4.741088812340408,0,0.5212765957446809,1,Sony,Electronics,IN,USD,"sony electronics authentic style dm for wholesale and better price, limited details."
1350.65,1053,4.72,0,138,41,0.7503611111111111,3.373052159365196,0,138.0,0,Louis Vuitton,Audio,TR,USD,verified louis vuitton audio listing purchased from official store. invoice and original box included.
1051.44,697,4.34,553,204,2,0.5841333333333334,4.524524037101177,0,0.36823104693140796,0,Louis Vuitton,Watches,TR,USD,verified louis vuitton watches listing serial number available. fast shipping and returns accepted.
428.0,597,4.76,0,0,33,1.0726817042606516,3.2660386130925945,0,0.0,0,Sony,Watches,GB,USD,sony watches in excellent condition purchased from official store. invoice and original box included.
1110.54,1063,4.97,154,663,21,0.6169666666666667,4.647824879715051,0,4.27741935483871,0,Louis Vuitton,Cameras,DE,USD,original louis vuitton cameras with full packaging purchased from official store. invoice and original box included.
101.82,461,4.56,1001,352,14,0.8484999999999999,4.769773054073463,0,0.35129740518962077,0,Nike,Watches,IN,USD,verified nike watches listing purchased from official store. invoice and original box included.
82.83,358,4.26,1004,226,47,0.8718947368421053,4.762684063396536,0,0.22487562189054727,0,Adidas,Audio,TR,USD,original adidas audio with full packaging serial number available. fast shipping and returns accepted.
1769.89,532,4.83,659,546,29,0.9832722222222223,4.883338172379994,0,0.8272727272727273,0,Louis Vuitton,Electronics,DE,USD,verified louis vuitton electronics listing serial number available. fast shipping and returns accepted.
2336.46,34,2.51,26,0,3,0.24594315789473684,2.5017614257244944,1,0.0,0,Rolex,Handbags,TR,USD,original rolex handbags with full packaging serial number available. fast shipping and returns accepted.
102.36,887,4.39,550,415,36,0.853,4.751779463737053,0,0.7531760435571688,0,Nike,Handbags,GB,USD,verified nike handbags listing serial number available. fast shipping and returns accepted.
9047.58,858,4.46,1333,197,5,0.9523768421052632,4.844349644916531,0,0.14767616191904048,0,Rolex,Electronics,AE,USD,verified rolex electronics listing purchased from official store. invoice and original box included.
10004.54,411,4.12,445,477,30,1.0531094736842106,4.432233240407445,0,1.0695067264573992,0,Rolex,Cameras,IN,USD,original rolex cameras with full packaging purchased from official store. invoice and original box included.
995.6,991,4.98,772,119,31,1.1712941176470588,5.093528228239587,0,0.1539456662354463,0,Canon,Cameras,TR,USD,canon cameras in excellent condition minimal wear. verified authenticity by trusted reseller.
818.16,1213,4.88,430,115,15,1.0239799749687108,4.852778418268854,0,0.2668213457076566,0,Apple,Watches,TR,USD,verified apple watches listing minimal wear. verified authenticity by trusted reseller.
1740.79,1567,4.05,702,114,18,0.9671055555555556,4.654972653089219,0,0.16216216216216217,0,Louis Vuitton,Cameras,DE,USD,louis vuitton cameras in excellent condition purchased from official store. invoice and original box included.
64.21,28,4.1,87,5,3,0.08036295369211513,3.4844285781175226,1,0.056818181818181816,2,Apple,Watches,CN,USD,"luxury apple authentic style item factory source stock, no box but same quality as original."
974.74,1075,4.47,866,267,23,1.1467529411764705,4.864910605303395,0,0.3079584775086505,0,Canon,Electronics,JP,USD,verified canon electronics listing minimal wear. verified authenticity by trusted reseller.
464.7,54,3.74,26,17,0,0.25816666666666666,3.1080591942859526,1,0.6296296296296297,1,Louis Vuitton,Electronics,IN,USD,louis vuitton electronics copy version no receipt available. perfect copy and hard to tell.
12594.03,893,4.21,1108,74,2,1.3256873684210526,4.676659363113618,0,0.06672678088367899,0,Rolex,Sneakers,GB,USD,verified rolex sneakers listing serial number available. fast shipping and returns accepted.
107.9,1197,4.5,918,579,23,0.8991666666666667,4.9090828473902315,0,0.6300326441784548,0,Nike,Watches,JP,USD,nike watches in excellent condition purchased from official store. invoice and original box included.
230.19,1447,5.0,1297,767,36,0.9244578313253012,5.313835760257858,0,0.5909090909090909,0,Bose,Audio,CN,USD,original bose audio with full packaging purchased from official store. invoice and original box included.
1853.72,307,4.99,316,685,8,1.0298444444444446,4.584740410915356,0,2.1608832807570977,0,Louis Vuitton,Cameras,IN,USD,original louis vuitton cameras with full packaging minimal wear. verified authenticity by trusted reseller.
642.52,7,2.69,73,11,2,0.3569555555555555,2.6084325045530177,1,0.14864864864864866,0,Louis Vuitton,Sneakers,TR,USD,verified louis vuitton sneakers listing serial number available. fast shipping and returns accepted.
666.89,422,4.99,1417,733,24,0.9540629470672389,5.08685650362996,0,0.5169252468265162,0,Samsung,Sneakers,JP,USD,samsung sneakers in excellent condition serial number available. fast shipping and returns accepted.
369.58,269,4.64,1197,175,47,0.926265664160401,4.934865488518605,0,0.14607679465776294,0,Sony,Electronics,CN,USD,original sony electronics with full packaging minimal wear. verified authenticity by trusted reseller.
134.25,0,3.83,18,18,0,0.15794117647058822,2.45960974479161,1,0.9473684210526315,0,Canon,Handbags,US,USD,verified canon handbags listing purchased from official store. invoice and original box included.
2495.06,76,3.08,20,14,5,0.2626378947368421,2.823701422708908,0,0.6666666666666666,1,Rolex,Cameras,DE,USD,rolex cameras copy version no receipt available. perfect copy and hard to tell.
12.62,122,1.81,16,9,1,0.10516666666666666,2.2496309893199165,0,0.5294117647058824,1,Nike,Audio,TR,USD,"nike audio premium factory surplus deal dm for wholesale and better price, limited details."
766.73,605,4.42,1485,0,26,0.902035294117647,4.9059928042298235,0,0.0,0,Canon,Audio,AE,USD,verified canon audio listing serial number available. fast shipping and returns accepted.
110.01,273,3.95,1054,409,16,0.9167500000000001,4.439793227435752,0,0.3876777251184834,0,Nike,Sneakers,US,USD,original nike sneakers with full packaging serial number available. fast shipping and returns accepted.
26.17,23,3.47,56,3,8,0.21808333333333335,3.08897089151083,1,0.05263157894736842,0,Nike,Electronics,GB,USD,original nike electronics with full packaging minimal wear. verified authenticity by trusted reseller.
512.88,1069,5.0,687,167,36,0.7337339055793991,5.109759298601729,0,0.24273255813953487,0,Samsung,Audio,US,USD,verified samsung audio listing minimal wear. verified authenticity by trusted reseller.
199.15,1030,4.78,1993,852,32,0.7997991967871486,5.25121716023299,0,0.4272818455366098,1,Bose,Electronics,DE,USD,bose electronics premium mirror quality deal no receipt available. perfect copy and hard to tell.
30.38,0,2.69,27,1,5,0.25316666666666665,2.0685511275438007,1,0.03571428571428571,1,Nike,Cameras,AE,USD,luxury nike discounted luxury item no receipt available. perfect copy and hard to tell.
1701.36,453,4.43,1381,480,16,0.9451999999999999,4.799036330788106,0,0.3473227206946454,0,Louis Vuitton,Electronics,TR,USD,louis vuitton electronics in excellent condition purchased from official store. invoice and original box included.
598.4,0,3.12,38,0,10,0.33244444444444443,2.3698904115324115,1,0.0,0,Louis Vuitton,Watches,TR,USD,verified louis vuitton watches listing purchased from official store. invoice and original box included.
101.72,44,3.12,18,6,3,0.25493734335839596,2.7261091182571584,1,0.3157894736842105,1,Sony,Electronics,DE,USD,"luxury sony no box item factory source stock, no box but same quality as original."
771.75,166,4.07,10,479,27,0.9658948685857321,3.3336728900621058,0,43.54545454545455,0,Apple,Watches,US,USD,apple watches in excellent condition serial number available. fast shipping and returns accepted.
10172.09,366,4.33,250,648,21,1.0707463157894737,4.320667511991132,0,2.5816733067729083,0,Rolex,Cameras,AE,USD,rolex cameras in excellent condition serial number available. fast shipping and returns accepted.
319.17,0,1.8,23,0,0,0.22011724137931035,1.6045134575869864,1,0.0,1,Gucci,Cameras,IN,USD,"luxury gucci looks original item dm for wholesale and better price, limited details."
792.73,1289,4.21,1888,288,35,0.9326235294117647,5.0298103414787345,0,0.1524616199047115,0,Canon,Audio,CN,USD,canon audio in excellent condition purchased from official store. invoice and original box included.
111.07,733,4.04,0,555,4,1.169157894736842,2.8277763542921774,0,555.0,0,Adidas,Handbags,IN,USD,verified adidas handbags listing serial number available. fast shipping and returns accepted.
445.5,285,4.59,581,351,23,1.1165413533834587,4.620516383555837,0,0.6030927835051546,0,Sony,Electronics,JP,USD,sony electronics in excellent condition serial number available. fast shipping and returns accepted.
25.85,73,2.7,6,10,2,0.21541666666666667,2.3570873012444538,0,1.4285714285714286,2,Nike,Handbags,TR,USD,"nike handbags mirror quality factory source stock, no box but same quality as original."
456.7,864,4.91,481,106,2,0.6533619456366238,4.778395454552432,0,0.21991701244813278,0,Samsung,Sneakers,JP,USD,verified samsung sneakers listing serial number available. fast shipping and returns accepted.
98.71,0,4.74,1596,32,34,1.0390526315789472,4.146970537053753,1,0.020037570444583593,0,Adidas,Sneakers,AE,USD,adidas sneakers in excellent condition minimal wear. verified authenticity by trusted reseller.
971.78,637,4.43,26,208,26,1.143270588235294,3.9162099590028006,0,7.703703703703703,0,Canon,Electronics,TR,USD,verified canon electronics listing serial number available. fast shipping and returns accepted.
799.96,368,4.77,303,201,31,0.9411294117647059,4.617376421957635,0,0.6611842105263158,0,Canon,Electronics,CN,USD,verified canon electronics listing serial number available. fast shipping and returns accepted.
1644.45,1225,5.0,1128,433,21,1.134103448275862,5.178998708511839,0,0.38352524357838796,0,Gucci,Handbags,GB,USD,gucci handbags in excellent condition purchased from official store. invoice and original box included.
1325.7,490,4.16,990,252,14,0.9142758620689655,4.5961452527516755,0,0.2542885973763875,0,Gucci,Electronics,JP,USD,gucci electronics in excellent condition purchased from official store. invoice and original box included.
1463.82,263,4.45,322,582,30,0.8132333333333333,4.433305446277611,0,1.8018575851393188,0,Louis Vuitton,Audio,CN,USD,louis vuitton audio in excellent condition minimal wear. verified authenticity by trusted reseller.
454.65,318,4.3,398,294,25,0.6504291845493562,4.422019019640192,0,0.7368421052631579,0,Samsung,Sneakers,AE,USD,samsung sneakers in excellent condition serial number available. fast shipping and returns accepted.
118.41,837,4.63,1131,335,0,0.98675,4.851088029763094,0,0.2959363957597173,0,Nike,Handbags,CN,USD,verified nike handbags listing purchased from official store. invoice and original box included.
1064.72,722,4.72,1364,519,39,1.2526117647058823,5.11123881022858,0,0.3802197802197802,0,Canon,Cameras,TR,USD,canon cameras in excellent condition serial number available. fast shipping and returns accepted.
735.63,525,4.78,1,259,31,1.0524034334763948,3.419081977050643,0,129.5,0,Samsung,Cameras,CN,USD,verified samsung cameras listing serial number available. fast shipping and returns accepted.
5121.29,381,5.0,23,565,23,0.5390831578947368,4.051326548877973,0,23.541666666666668,0,Rolex,Cameras,DE,USD,original rolex cameras with full packaging serial number available. fast shipping and returns accepted.
2814.5,48,3.2,0,6,0,0.29626315789473684,2.0237730447165942,1,6.0,1,Rolex,Audio,JP,USD,rolex audio looks original no receipt available. perfect copy and hard to tell.
1555.65,747,4.71,545,0,34,0.8642500000000001,4.8577651906323975,0,0.0,0,Louis Vuitton,Cameras,AE,USD,verified louis vuitton cameras listing serial number available. fast shipping and returns accepted.
359.89,225,4.66,1262,0,24,0.9019799498746867,4.815391530478466,0,0.0,0,Sony,Audio,JP,USD,original sony audio with full packaging serial number available. fast shipping and returns accepted.
629.48,660,4.86,1255,331,12,0.9005436337625179,5.0049849127347885,0,0.2635350318471338,0,Samsung,Cameras,TR,USD,original samsung cameras with full packaging minimal wear. verified authenticity by trusted reseller.
9341.39,1083,4.5,316,323,41,0.9833042105263158,4.7179874207692585,0,1.0189274447949528,0,Rolex,Electronics,DE,USD,rolex electronics in excellent condition minimal wear. verified authenticity by trusted reseller.
98.77,137,5.0,819,505,26,0.8230833333333333,4.7964141378381555,0,0.6158536585365854,0,Nike,Handbags,GB,USD,verified nike handbags listing minimal wear. verified authenticity by trusted reseller.
604.75,1025,4.35,0,270,24,0.8651645207439199,3.117513453859607,0,270.0,0,Samsung,Electronics,CN,USD,samsung electronics in excellent condition minimal wear. verified authenticity by trusted reseller.
20.35,9,1.77,24,6,0,0.05100250626566417,1.946606720166157,1,0.24,2,Sony,Cameras,CN,USD,"sony cameras premium discounted luxury deal factory source stock, no box but same quality as original."
9325.83,121,4.47,848,269,0,0.9816663157894737,4.418117953287825,0,0.3168433451118963,0,Rolex,Audio,GB,USD,verified rolex audio listing minimal wear. verified authenticity by trusted reseller.
1487.86,720,4.7,209,688,31,1.0261103448275861,4.59387275327211,0,3.276190476190476,0,Gucci,Electronics,IN,USD,original gucci electronics with full packaging minimal wear. verified authenticity by trusted reseller.
1312.98,208,4.48,2163,0,31,0.7294333333333334,4.892278547786315,0,0.0,0,Louis Vuitton,Electronics,TR,USD,original louis vuitton electronics with full packaging serial number available. fast shipping and returns accepted.
5776.51,0,4.27,1003,24,15,0.6080536842105263,3.7244368250629183,1,0.02390438247011952,0,Rolex,Handbags,AE,USD,rolex handbags in excellent condition purchased from official store. invoice and original box included.
1952.78,933,5.0,808,0,34,1.0848777777777778,5.119871194998949,0,0.0,0,Louis Vuitton,Sneakers,US,USD,louis vuitton sneakers in excellent condition minimal wear. verified authenticity by trusted reseller.
9533.05,658,4.03,1000,488,29,1.003478947368421,4.659297225004181,0,0.4875124875124875,0,Rolex,Handbags,CN,USD,original rolex handbags with full packaging minimal wear. verified authenticity by trusted reseller.
1011.89,400,4.63,545,215,33,1.2664455569461828,4.723248958032212,0,0.39377289377289376,0,Apple,Cameras,TR,USD,verified apple cameras listing minimal wear. verified authenticity by trusted reseller.
9074.6,1010,4.56,881,630,18,0.955221052631579,4.875352296854768,0,0.7142857142857143,0,Rolex,Sneakers,JP,USD,rolex sneakers in excellent condition minimal wear. verified authenticity by trusted reseller.
310.19,919,4.17,930,57,27,1.2457429718875501,4.74422086982573,0,0.061224489795918366,0,Bose,Watches,TR,USD,bose watches in excellent condition purchased from official store. invoice and original box included.
28.22,1,3.08,126,0,1,0.23516666666666666,2.7060188486986396,1,0.0,1,Nike,Handbags,TR,USD,"luxury nike factory surplus item dm for wholesale and better price, limited details."
7884.43,235,4.32,441,123,42,0.82994,4.496402241273266,0,0.27828054298642535,0,Rolex,Audio,AE,USD,rolex audio in excellent condition purchased from official store. invoice and original box included.
174.84,0,2.3,0,9,6,0.21882352941176472,1.065,1,9.0,0,Apple,Watches,JP,USD,apple watches in excellent condition minimal wear. verified authenticity by trusted reseller.
810.72,957,4.48,756,310,25,1.014668335419274,4.828067980054992,0,0.4095112285336856,0,Apple,Handbags,IN,USD,verified apple handbags listing serial number available. fast shipping and returns accepted.
70.77,1698,4.73,579,629,0,0.58975,4.834926294135906,0,1.0844827586206895,0,Nike,Handbags,US,USD,verified nike handbags listing purchased from official store. invoice and original box included.
109.56,270,5.0,249,21,20,1.1532631578947368,4.570683052597516,0,0.084,0,Adidas,Sneakers,JP,USD,adidas sneakers in excellent condition purchased from official store. invoice and original box included.
77.77,0,3.87,958,76,22,0.8186315789473684,3.5679727687208596,1,0.07924921793534932,0,Adidas,Electronics,CN,USD,original adidas electronics with full packaging purchased from official store. invoice and original box included.
279.71,23,3.55,40,17,2,0.19290344827586206,3.0126010912282686,1,0.4146341463414634,2,Gucci,Sneakers,GB,USD,"gucci sneakers looks original factory source stock, no box but same quality as original."
418.39,1283,4.64,702,395,33,1.04859649122807,4.965499545590152,0,0.561877667140825,0,Sony,Sneakers,AE,USD,sony sneakers in excellent condition purchased from official store. invoice and original box included.
248.57,491,4.69,1062,593,11,0.9982730923694779,4.837484402059333,0,0.5578551269990593,0,Bose,Handbags,IN,USD,original bose handbags with full packaging minimal wear. verified authenticity by trusted reseller.
225.47,65,3.69,39,2,0,0.26525882352941177,3.211168074832448,0,0.05,1,Canon,Handbags,JP,USD,"canon handbags no box factory source stock, no box but same quality as original."
81.55,24,3.29,69,6,0,0.10206508135168961,3.0254551842425697,1,0.08571428571428572,0,Apple,Audio,JP,USD,original apple audio with full packaging serial number available. fast shipping and returns accepted.
8079.91,1032,4.68,679,309,18,0.8505168421052631,4.867556569910484,0,0.45441176470588235,0,Rolex,Handbags,US,USD,verified rolex handbags listing serial number available. fast shipping and returns accepted.
2656.06,0,2.02,27,0,5,0.2795852631578947,1.7670511275438008,1,0.0,2,Rolex,Electronics,GB,USD,"luxury rolex discounted luxury item factory source stock, no box but same quality as original."
901.56,197,4.61,1221,443,18,1.0606588235294117,4.734801089537065,0,0.3625204582651391,0,Canon,Cameras,IN,USD,verified canon cameras listing purchased from official store. invoice and original box included.
285.15,86,4.75,1073,11,34,1.1451807228915662,4.72217253656539,0,0.010242085661080074,0,Bose,Audio,US,USD,verified bose audio listing minimal wear. verified authenticity by trusted reseller.
394.24,1032,4.14,943,266,35,0.9880701754385965,4.791564911904321,0,0.2817796610169492,0,Sony,Cameras,CN,USD,sony cameras in excellent condition minimal wear. verified authenticity by trusted reseller.
9135.17,1378,4.21,576,84,37,0.9615968421052632,4.75332764829602,0,0.14558058925476602,0,Rolex,Watches,GB,USD,verified rolex watches listing serial number available. fast shipping and returns accepted.
159.63,2,2.79,0,0,4,0.1878,1.4402918433002165,1,0.0,1,Canon,Cameras,DE,USD,"luxury canon inspired item dm for wholesale and better price, limited details."
260.84,0,2.64,83,11,7,0.1449111111111111,2.3307041997108287,1,0.13095238095238096,1,Louis Vuitton,Handbags,IN,USD,"luxury louis vuitton mirror quality item dm for wholesale and better price, limited details."
77.2,843,4.68,1234,365,0,0.6433333333333333,4.896429436454913,0,0.29554655870445345,0,Nike,Sneakers,JP,USD,original nike sneakers with full packaging minimal wear. verified authenticity by trusted reseller.
164.96,998,4.6,1110,70,18,0.6624899598393574,4.94926716420719,0,0.063006300630063,0,Bose,Handbags,CN,USD,bose handbags in excellent condition serial number available. fast shipping and returns accepted.
416.17,761,4.23,1339,138,29,1.043032581453634,4.8439982065892355,0,0.10298507462686567,0,Sony,Electronics,CN,USD,original sony electronics with full packaging purchased from official store. invoice and original box included.
746.25,1287,4.05,0,330,37,0.9339799749687109,3.0816268859996447,0,330.0,0,Apple,Handbags,AE,USD,original apple handbags with full packaging serial number available. fast shipping and returns accepted.
657.98,827,4.46,222,87,25,0.7740941176470588,4.4916449160228185,0,0.3901345291479821,0,Canon,Electronics,GB,USD,verified canon electronics listing purchased from official store. invoice and original box included.
10.0,0,2.11,66,3,0,0.10526315789473684,2.0006731548477417,1,0.04477611940298507,1,Adidas,Handbags,US,USD,"adidas handbags premium discounted luxury deal dm for wholesale and better price, limited details."
1547.22,737,4.21,640,205,24,0.8595666666666667,4.620848937920239,0,0.31981279251170047,0,Louis Vuitton,Audio,US,USD,original louis vuitton audio with full packaging minimal wear. verified authenticity by trusted reseller.
1301.85,550,4.25,1009,223,23,0.8978275862068965,4.703686623831763,0,0.2207920792079208,0,Gucci,Handbags,JP,USD,gucci handbags in excellent condition serial number available. fast shipping and returns accepted.
316.54,1300,4.44,917,184,3,1.2712449799196788,4.794182619431998,0,0.20043572984749455,0,Bose,Handbags,IN,USD,original bose handbags with full packaging purchased from official store. invoice and original box included.
126.95,28,2.73,113,3,1,0.18161659513590844,2.9226439865965945,1,0.02631578947368421,1,Samsung,Electronics,AE,USD,samsung electronics premium mirror quality deal no receipt available. perfect copy and hard to tell.
1100.24,810,4.27,1134,146,28,1.3770212765957448,4.824837190596187,0,0.12863436123348018,0,Apple,Electronics,TR,USD,verified apple electronics listing minimal wear. verified authenticity by trusted reseller.
